1.40	0.985450	0.165037	-0.987092
1.41	0.987100	0.155166	-0.988644
1.42	0.988652	0.145280	-0.990096
1.43	0.990105	0.135379	-0.991450
1.44	0.991458	0.125464	-0.992705
1.45	0.992713	0.115537	-0.993860
1.46	0.993868	0.105599	-0.994916
1.47	0.994924	0.095649	-0.995873
1.48	0.995881	0.085691	-0.996729
1.49	0.996738	0.075723	-0.997487
1.50	0.997495	0.065749	-0.998144
1.51	0.998152	0.055767	-0.998702
1.52	0.998710	0.045780	-0.999160
1.53	0.999168	0.035789	-0.999518
1.54	0.999526	0.025793	-0.999775
1.55	0.999784	0.015796	-0.999933
1.56	0.999942	0.005796	-0.999991
1.57	1.000000	-0.004204	-0.999949
1.58	0.999958	-0.014203	-0.999807
1.59	0.999816	-0.024201	-0.999565
1.60	0.999574	-0.034197	-0.999223
1.61	0.999232	-0.044189	-0.998781
1.62	0.998790	-0.054177	-0.998240
1.63	0.998248	-0.064159	-0.997598
1.64	0.997606	-0.074135	-0.996857
1.65	0.996865	-0.084104	-0.996016
1.66	0.996024	-0.094064	-0.995075
1.67	0.995083	-0.104015	-0.994035
1.68	0.994043	-0.113955	-0.992895
1.69	0.992904	-0.123884	-0.991657
1.70	0.991665	-0.133801	-0.990319
1.71	0.990327	-0.143704	-0.988882
1.72	0.988890	-0.153593	-0.987346
1.73	0.987354	-0.163466	-0.985711
1.74	0.985719	-0.173323	-0.983978
1.75	0.983986	-0.183163	-0.982146
1.76	0.982154	-0.192984	-0.980216
1.77	0.980224	-0.202787	-0.978188
1.78	0.978197	-0.212568	-0.976063
1.79	0.976071	-0.222329	-0.973840
1.80	0.973848	-0.232068	-0.971519
1.81	0.971527	-0.241783	-0.969101
1.82	0.969109	-0.251474	-0.966586
1.83	0.966594	-0.261140	-0.963975
1.84	0.963983	-0.270779	-0.961267
1.85	0.961275	-0.280392	-0.958463
1.86	0.958471	-0.289977	-0.955564
1.87	0.955572	-0.299532	-0.952568
1.88	0.952576	-0.309058	-0.949478
1.89	0.949486	-0.318553	-0.946292
1.90	0.946300	-0.328016	-0.943012
1.91	0.943020	-0.337446	-0.939638
1.92	0.939645	-0.346842	-0.936169
1.93	0.936177	-0.356204	-0.932607
1.94	0.932615	-0.365530	-0.928952
1.95	0.928960	-0.374819	-0.925204
1.96	0.925212	-0.384071	-0.921363
1.97	0.921371	-0.393285	-0.917430
1.98	0.917438	-0.402459	-0.913406
1.99	0.913413	-0.411593	-0.909290
2.00	0.909297	-0.420686	-0.905083
2.01	0.905091	-0.429737	-0.900786
2.02	0.900793	-0.438745	-0.896398
2.03	0.896406	-0.447709	-0.891921
2.04	0.891929	-0.456628	-0.887355
2.05	0.887362	-0.465502	-0.882700
2.06	0.882707	-0.474329	-0.877957
2.07	0.877964	-0.483108	-0.873126
2.08	0.873133	-0.491840	-0.868207
2.09	0.868215	-0.500522	-0.863202
2.10	0.863209	-0.509154	-0.858111
2.11	0.858118	-0.517735	-0.852933
2.12	0.852940	-0.526264	-0.847671
2.13	0.847678	-0.534741	-0.842323
2.14	0.842330	-0.543164	-0.836892
2.15	0.836899	-0.551533	-0.831377
2.16	0.831383	-0.559847	-0.825778
2.17	0.825785	-0.568105	-0.820097
2.18	0.820104	-0.576306	-0.814334
2.19	0.814341	-0.584449	-0.808490
2.20	0.808496	-0.592534	-0.802564
2.21	0.802571	-0.600559	-0.796559
2.22	0.796565	-0.608525	-0.790474
2.23	0.790480	-0.616430	-0.784309
2.24	0.784316	-0.624273	-0.778067
2.25	0.778073	-0.632053	-0.771746
2.26	0.771753	-0.639771	-0.765349
2.27	0.765355	-0.647424	-0.758874
2.28	0.758881	-0.655013	-0.752324
2.29	0.752331	-0.662536	-0.745699
2.30	0.745705	-0.669993	-0.738999
2.31	0.739005	-0.677383	-0.732225
2.32	0.732231	-0.684706	-0.725378
2.33	0.725384	-0.691959	-0.718459
2.34	0.718465	-0.699144	-0.711467
2.35	0.711473	-0.706259	-0.704405
2.36	0.704411	-0.713303	-0.697272
2.37	0.697278	-0.720275	-0.690069
2.38	0.690075	-0.727176	-0.682798
2.39	0.682803	-0.734004	-0.675458
2.40	0.675463	-0.740759	-0.668050
2.41	0.668056	-0.747439	-0.660576
2.42	0.660581	-0.754045	-0.653035
2.43	0.653041	-0.760575	-0.645430
2.44	0.645435	-0.767030	-0.637759
2.45	0.637765	-0.773407	-0.630025
2.46	0.630031	-0.779707	-0.622228
2.47	0.622234	-0.785930	-0.614369
